Province/states,country,WHO region,WHO region label,date,value
,China,Western Pacific Region,,1/21/20,278
,China,Western Pacific Region,,1/22/20,309
,China,Western Pacific Region,,1/23/20,571
,China,Western Pacific Region,,1/24/20,830
,China,Western Pacific Region,,1/25/20,1297
,China,Western Pacific Region,,1/26/20,1985
,China,Western Pacific Region,,1/27/20,2741
,China,Western Pacific Region,,1/28/20,4537
,China,Western Pacific Region,,1/29/20,5997
,China,Western Pacific Region,,1/30/20,7736
,China,Western Pacific Region,,1/31/20,9720
,China,Western Pacific Region,,2/1/20,11821
,China,Western Pacific Region,,2/2/20,14411
,China,Western Pacific Region,,2/3/20,17238
,China,Western Pacific Region,,2/4/20,20471
,China,Western Pacific Region,,2/5/20,24363
,China,Western Pacific Region,,2/6/20,28060
,China,Western Pacific Region,,2/7/20,31211
,China,Western Pacific Region,,2/8/20,34598
,China,Western Pacific Region,,2/9/20,37251
,China,Western Pacific Region,,2/10/20,40235
,China,Western Pacific Region,,2/11/20,42708
,China,Western Pacific Region,,2/12/20,44730
,China,Western Pacific Region,,2/13/20,46550
,China,Western Pacific Region,,2/14/20,48548
,China,Western Pacific Region,,2/15/20,50054
,China,Western Pacific Region,,2/16/20,51174
,China,Western Pacific Region,,2/17/20,70635
,China,Western Pacific Region,,2/18/20,72528
,China,Western Pacific Region,,2/19/20,74280
,China,Western Pacific Region,,2/20/20,74675
,China,Western Pacific Region,,2/21/20,75569
,China,Western Pacific Region,,2/22/20,76392
,China,Western Pacific Region,,2/23/20,77042
,China,Western Pacific Region,,2/24/20,77262
,China,Western Pacific Region,,2/25/20,77780
,China,Western Pacific Region,,2/26/20,78191
,China,Western Pacific Region,,2/27/20,78630
,China,Western Pacific Region,,2/28/20,78961
,China,Western Pacific Region,,2/29/20,79394
,China,Western Pacific Region,,3/1/20,79968
,China,Western Pacific Region,,3/2/20,80174
,China,Western Pacific Region,,3/3/20,80304
,China,Western Pacific Region,,3/4/20,80422
,China,Western Pacific Region,,3/5/20,80565
,China,Western Pacific Region,,3/6/20,80711
,China,Western Pacific Region,,3/7/20,80813
,China,Western Pacific Region,,3/8/20,80859
,China,Western Pacific Region,,3/9/20,80904
,China,Western Pacific Region,,3/10/20,80924
,China,Western Pacific Region,,3/11/20,80955
,China,Western Pacific Region,,3/12/20,80981
,China,Western Pacific Region,,3/13/20,80991
,China,Western Pacific Region,,3/14/20,81021
,China,Western Pacific Region,,3/15/20,81048
,China,Western Pacific Region,,3/16/20,81077
,China,Western Pacific Region,,3/17/20,81116
,China,Western Pacific Region,,3/18/20,81116
,China,Western Pacific Region,,3/19/20,81174
,China,Western Pacific Region,,3/20/20,81300
,China,Western Pacific Region,,3/21/20,81416
,China,Western Pacific Region,,3/22/20,81498
,China,Western Pacific Region,,3/23/20,81601
,China,Western Pacific Region,,3/24/20,81747
,China,Western Pacific Region,,3/25/20,81848
,China,Western Pacific Region,,3/26/20,81961
,China,Western Pacific Region,,3/27/20,82078
,China,Western Pacific Region,,3/28/20,82230
,China,Western Pacific Region,,3/29/20,82341
,China,Western Pacific Region,,3/30/20,82447
,China,Western Pacific Region,,3/31/20,82545
,China,Western Pacific Region,,4/1/20,82631
,China,Western Pacific Region,,4/2/20,82724
,China,Western Pacific Region,,4/3/20,82802
,China,Western Pacific Region,,4/4/20,82875
,China,Western Pacific Region,,4/5/20,82930
,China,Western Pacific Region,,4/6/20,83005
,China,Western Pacific Region,,4/7/20,83071
,China,Western Pacific Region,,4/8/20,83157
,China,Western Pacific Region,,4/9/20,83249
,China,Western Pacific Region,,4/10/20,83305
,China,Western Pacific Region,,4/11/20,83369
,China,Western Pacific Region,,4/12/20,83482
,China,Western Pacific Region,,4/13/20,83597
,China,Western Pacific Region,,4/14/20,83696
,China,Western Pacific Region,,4/15/20,83745
,China,Western Pacific Region,,4/16/20,83797
,China,Western Pacific Region,,4/17/20,84149
,China,Western Pacific Region,,4/18/20,84180
,China,Western Pacific Region,,4/19/20,84201
,China,Western Pacific Region,,4/20/20,84237
,China,Western Pacific Region,,4/21/20,84250
,China,Western Pacific Region,,4/22/20,84287
,China,Western Pacific Region,,4/23/20,84302
,China,Western Pacific Region,,4/24/20,84311
,China,Western Pacific Region,,4/25/20,84324
,China,Western Pacific Region,,4/26/20,84338
,China,Western Pacific Region,,4/27/20,84341
,China,Western Pacific Region,,4/28/20,84347
,China,Western Pacific Region,,4/29/20,84369
,China,Western Pacific Region,,4/30/20,84373
,China,Western Pacific Region,,5/1/20,84385
,China,Western Pacific Region,,5/2/20,84388
,China,Western Pacific Region,,5/3/20,84393
,China,Western Pacific Region,,5/4/20,84400
,China,Western Pacific Region,,5/5/20,84404
,China,Western Pacific Region,,5/6/20,84406
,China,Western Pacific Region,,5/7/20,84409
,China,Western Pacific Region,,5/8/20,84415
,China,Western Pacific Region,,5/9/20,84416
,China,Western Pacific Region,,5/10/20,84430
,China,Western Pacific Region,,5/11/20,84450
,China,Western Pacific Region,,5/12/20,84451
,China,Western Pacific Region,,5/13/20,84458
,China,Western Pacific Region,,5/14/20,84464
