Province/states,country,WHO region,WHO region label,date,value
,Turkey,European Region,,1/21/20,0
,Turkey,European Region,,1/22/20,0
,Turkey,European Region,,1/23/20,0
,Turkey,European Region,,1/24/20,0
,Turkey,European Region,,1/25/20,0
,Turkey,European Region,,1/26/20,0
,Turkey,European Region,,1/27/20,0
,Turkey,European Region,,1/28/20,0
,Turkey,European Region,,1/29/20,0
,Turkey,European Region,,1/30/20,0
,Turkey,European Region,,1/31/20,0
,Turkey,European Region,,2/1/20,0
,Turkey,European Region,,2/2/20,0
,Turkey,European Region,,2/3/20,0
,Turkey,European Region,,2/4/20,0
,Turkey,European Region,,2/5/20,0
,Turkey,European Region,,2/6/20,0
,Turkey,European Region,,2/7/20,0
,Turkey,European Region,,2/8/20,0
,Turkey,European Region,,2/9/20,0
,Turkey,European Region,,2/10/20,0
,Turkey,European Region,,2/11/20,0
,Turkey,European Region,,2/12/20,0
,Turkey,European Region,,2/13/20,0
,Turkey,European Region,,2/14/20,0
,Turkey,European Region,,2/15/20,0
,Turkey,European Region,,2/16/20,0
,Turkey,European Region,,2/17/20,0
,Turkey,European Region,,2/18/20,0
,Turkey,European Region,,2/19/20,0
,Turkey,European Region,,2/20/20,0
,Turkey,European Region,,2/21/20,0
,Turkey,European Region,,2/22/20,0
,Turkey,European Region,,2/23/20,0
,Turkey,European Region,,2/24/20,0
,Turkey,European Region,,2/25/20,0
,Turkey,European Region,,2/26/20,0
,Turkey,European Region,,2/27/20,0
,Turkey,European Region,,2/28/20,0
,Turkey,European Region,,2/29/20,0
,Turkey,European Region,,3/1/20,0
,Turkey,European Region,,3/2/20,0
,Turkey,European Region,,3/3/20,0
,Turkey,European Region,,3/4/20,0
,Turkey,European Region,,3/5/20,0
,Turkey,European Region,,3/6/20,0
,Turkey,European Region,,3/7/20,0
,Turkey,European Region,,3/8/20,0
,Turkey,European Region,,3/9/20,0
,Turkey,European Region,,3/10/20,0
,Turkey,European Region,,3/11/20,0
,Turkey,European Region,,3/12/20,1
,Turkey,European Region,,3/13/20,1
,Turkey,European Region,,3/14/20,5
,Turkey,European Region,,3/15/20,5
,Turkey,European Region,,3/16/20,5
,Turkey,European Region,,3/17/20,47
,Turkey,European Region,,3/18/20,47
,Turkey,European Region,,3/19/20,191
,Turkey,European Region,,3/20/20,191
,Turkey,European Region,,3/21/20,670
,Turkey,European Region,,3/22/20,947
,Turkey,European Region,,3/23/20,1236
,Turkey,European Region,,3/24/20,1529
,Turkey,European Region,,3/25/20,1872
,Turkey,European Region,,3/26/20,2433
,Turkey,European Region,,3/27/20,3629
,Turkey,European Region,,3/28/20,5698
,Turkey,European Region,,3/29/20,7402
,Turkey,European Region,,3/30/20,9271
,Turkey,European Region,,3/31/20,10827
,Turkey,European Region,,4/1/20,13531
,Turkey,European Region,,4/2/20,15679
,Turkey,European Region,,4/3/20,18135
,Turkey,European Region,,4/4/20,20921
,Turkey,European Region,,4/5/20,23934
,Turkey,European Region,,4/6/20,27069
,Turkey,European Region,,4/7/20,30217
,Turkey,European Region,,4/8/20,34109
,Turkey,European Region,,4/9/20,38226
,Turkey,European Region,,4/10/20,42282
,Turkey,European Region,,4/11/20,47029
,Turkey,European Region,,4/12/20,52167
,Turkey,European Region,,4/13/20,56956
,Turkey,European Region,,4/14/20,61049
,Turkey,European Region,,4/15/20,65111
,Turkey,European Region,,4/16/20,69392
,Turkey,European Region,,4/17/20,74193
,Turkey,European Region,,4/18/20,78546
,Turkey,European Region,,4/19/20,82329
,Turkey,European Region,,4/20/20,86306
,Turkey,European Region,,4/21/20,90980
,Turkey,European Region,,4/22/20,95591
,Turkey,European Region,,4/23/20,98674
,Turkey,European Region,,4/24/20,101790
,Turkey,European Region,,4/25/20,104912
,Turkey,European Region,,4/26/20,107773
,Turkey,European Region,,4/27/20,110130
,Turkey,European Region,,4/28/20,112261
,Turkey,European Region,,4/29/20,114653
,Turkey,European Region,,4/30/20,117589
,Turkey,European Region,,5/1/20,120204
,Turkey,European Region,,5/2/20,122392
,Turkey,European Region,,5/3/20,124375
,Turkey,European Region,,5/4/20,126045
,Turkey,European Region,,5/5/20,127659
,Turkey,European Region,,5/6/20,129491
,Turkey,European Region,,5/7/20,131744
,Turkey,European Region,,5/8/20,133721
,Turkey,European Region,,5/9/20,135569
,Turkey,European Region,,5/10/20,137115
,Turkey,European Region,,5/11/20,138657
,Turkey,European Region,,5/12/20,139771
,Turkey,European Region,,5/13/20,141475
,Turkey,European Region,,5/14/20,143114
,Turkey,European Region,,5/15/20,144749
,Turkey,European Region,,5/16/20,146457
,Turkey,European Region,,5/17/20,148067
,Turkey,European Region,,5/18/20,149435
,Turkey,European Region,,5/19/20,150593
,Turkey,European Region,,5/20/20,151615
,Turkey,European Region,,5/21/20,152587
,Turkey,European Region,,5/22/20,153548
,Turkey,European Region,,5/23/20,154500
,Turkey,European Region,,5/24/20,155686
,Turkey,European Region,,5/25/20,156827
,Turkey,European Region,,5/26/20,157814
,Turkey,European Region,,5/27/20,158762
,Turkey,European Region,,5/28/20,159797
,Turkey,European Region,,5/29/20,160979
,Turkey,European Region,,5/30/20,162120
,Turkey,European Region,,5/31/20,163103
,Turkey,European Region,,6/1/20,163942
,Turkey,European Region,,6/2/20,164769
,Turkey,European Region,,6/3/20,165555
,Turkey,European Region,,6/4/20,166422
,Turkey,European Region,,6/5/20,167410
,Turkey,European Region,,6/6/20,168340
,Turkey,European Region,,6/7/20,169218
,Turkey,European Region,,6/8/20,170132
,Turkey,European Region,,6/9/20,171121
,Turkey,European Region,,6/10/20,172114
,Turkey,European Region,,6/11/20,173036
,Turkey,European Region,,6/12/20,174023
,Turkey,European Region,,6/13/20,175218
,Turkey,European Region,,6/14/20,176677
,Turkey,European Region,,6/15/20,178239
,Turkey,European Region,,6/16/20,179831
,Turkey,European Region,,6/17/20,181298
,Turkey,European Region,,6/18/20,182727
,Turkey,European Region,,6/19/20,184031
,Turkey,European Region,,6/20/20,
,Turkey,European Region,,6/21/20,
,Turkey,European Region,,6/22/20,
,Turkey,European Region,,6/23/20,
,Turkey,European Region,,6/24/20,
,Turkey,European Region,,6/25/20,
,Turkey,European Region,,6/26/20,
,Turkey,European Region,,6/27/20,
,Turkey,European Region,,6/28/20,
,Turkey,European Region,,6/29/20,
,Turkey,European Region,,6/30/20,
,Turkey,European Region,,7/1/20,
,Turkey,European Region,,7/2/20,
,Turkey,European Region,,7/3/20,
,Turkey,European Region,,7/4/20,
,Turkey,European Region,,7/5/20,
,Turkey,European Region,,7/6/20,
,Turkey,European Region,,7/7/20,
,Turkey,European Region,,7/8/20,
,Turkey,European Region,,7/9/20,
,Turkey,European Region,,7/10/20,
,Turkey,European Region,,7/11/20,
,Turkey,European Region,,7/12/20,
,Turkey,European Region,,7/13/20,
,Turkey,European Region,,7/14/20,
,Turkey,European Region,,7/15/20,
,Turkey,European Region,,7/16/20,
,Turkey,European Region,,7/17/20,
,Turkey,European Region,,7/18/20,
,Turkey,European Region,,7/19/20,
,Turkey,European Region,,7/20/20,
,Turkey,European Region,,7/21/20,
,Turkey,European Region,,7/22/20,
,Turkey,European Region,,7/23/20,
,Turkey,European Region,,7/24/20,
,Turkey,European Region,,7/25/20,
,Turkey,European Region,,7/26/20,
,Turkey,European Region,,7/27/20,
,Turkey,European Region,,7/28/20,
,Turkey,European Region,,7/29/20,
,Turkey,European Region,,7/30/20,
,Turkey,European Region,,7/31/20,
,Turkey,European Region,,8/1/20,
,Turkey,European Region,,8/2/20,
,Turkey,European Region,,8/3/20,
,Turkey,European Region,,8/4/20,
,Turkey,European Region,,8/5/20,
,Turkey,European Region,,8/6/20,
,Turkey,European Region,,8/7/20,
,Turkey,European Region,,8/8/20,
,Turkey,European Region,,8/9/20,
,Turkey,European Region,,8/10/20,
,Turkey,European Region,,8/11/20,
,Turkey,European Region,,8/12/20,
,Turkey,European Region,,8/13/20,
,Turkey,European Region,,8/14/20,
,Turkey,European Region,,8/15/20,
,Turkey,European Region,,8/16/20,
