Province/states,country,WHO region,WHO region label,date,value
,United States of America,Region of the Americas,,1/21/20,0
,United States of America,Region of the Americas,,1/22/20,0
,United States of America,Region of the Americas,,1/23/20,1
,United States of America,Region of the Americas,,1/24/20,1
,United States of America,Region of the Americas,,1/25/20,2
,United States of America,Region of the Americas,,1/26/20,2
,United States of America,Region of the Americas,,1/27/20,5
,United States of America,Region of the Americas,,1/28/20,5
,United States of America,Region of the Americas,,1/29/20,5
,United States of America,Region of the Americas,,1/30/20,5
,United States of America,Region of the Americas,,1/31/20,6
,United States of America,Region of the Americas,,2/1/20,7
,United States of America,Region of the Americas,,2/2/20,8
,United States of America,Region of the Americas,,2/3/20,11
,United States of America,Region of the Americas,,2/4/20,11
,United States of America,Region of the Americas,,2/5/20,11
,United States of America,Region of the Americas,,2/6/20,12
,United States of America,Region of the Americas,,2/7/20,12
,United States of America,Region of the Americas,,2/8/20,12
,United States of America,Region of the Americas,,2/9/20,12
,United States of America,Region of the Americas,,2/10/20,12
,United States of America,Region of the Americas,,2/11/20,13
,United States of America,Region of the Americas,,2/12/20,13
,United States of America,Region of the Americas,,2/13/20,14
,United States of America,Region of the Americas,,2/14/20,15
,United States of America,Region of the Americas,,2/15/20,15
,United States of America,Region of the Americas,,2/16/20,15
,United States of America,Region of the Americas,,2/17/20,15
,United States of America,Region of the Americas,,2/18/20,15
,United States of America,Region of the Americas,,2/19/20,15
,United States of America,Region of the Americas,,2/20/20,15
,United States of America,Region of the Americas,,2/21/20,15
,United States of America,Region of the Americas,,2/22/20,35
,United States of America,Region of the Americas,,2/23/20,35
,United States of America,Region of the Americas,,2/24/20,35
,United States of America,Region of the Americas,,2/25/20,53
,United States of America,Region of the Americas,,2/26/20,53
,United States of America,Region of the Americas,,2/27/20,59
,United States of America,Region of the Americas,,2/28/20,59
,United States of America,Region of the Americas,,2/29/20,62
,United States of America,Region of the Americas,,3/1/20,62
,United States of America,Region of the Americas,,3/2/20,62
,United States of America,Region of the Americas,,3/3/20,64
,United States of America,Region of the Americas,,3/4/20,108
,United States of America,Region of the Americas,,3/5/20,129
,United States of America,Region of the Americas,,3/6/20,148
,United States of America,Region of the Americas,,3/7/20,213
,United States of America,Region of the Americas,,3/8/20,213
,United States of America,Region of the Americas,,3/9/20,213
,United States of America,Region of the Americas,,3/10/20,472
,United States of America,Region of the Americas,,3/11/20,696
,United States of America,Region of the Americas,,3/12/20,987
,United States of America,Region of the Americas,,3/13/20,1264
,United States of America,Region of the Americas,,3/14/20,1678
,United States of America,Region of the Americas,,3/15/20,1678
,United States of America,Region of the Americas,,3/16/20,1678
,United States of America,Region of the Americas,,3/17/20,3503
,United States of America,Region of the Americas,,3/18/20,3536
,United States of America,Region of the Americas,,3/19/20,7087
,United States of America,Region of the Americas,,3/20/20,10442
,United States of America,Region of the Americas,,3/21/20,15219
,United States of America,Region of the Americas,,3/22/20,15219
,United States of America,Region of the Americas,,3/23/20,31573
,United States of America,Region of the Americas,,3/24/20,42164
,United States of America,Region of the Americas,,3/25/20,51914
,United States of America,Region of the Americas,,3/26/20,63570
,United States of America,Region of the Americas,,3/27/20,68334
,United States of America,Region of the Americas,,3/28/20,85228
,United States of America,Region of the Americas,,3/29/20,103321
,United States of America,Region of the Americas,,3/30/20,122653
,United States of America,Region of the Americas,,3/31/20,140640
,United States of America,Region of the Americas,,4/1/20,163199
,United States of America,Region of the Americas,,4/2/20,187320
,United States of America,Region of the Americas,,4/3/20,213600
,United States of America,Region of the Americas,,4/4/20,241703
,United States of America,Region of the Americas,,4/5/20,273808
,United States of America,Region of the Americas,,4/6/20,307318
,United States of America,Region of the Americas,,4/7/20,333811
,United States of America,Region of the Americas,,4/8/20,363321
,United States of America,Region of the Americas,,4/9/20,395030
,United States of America,Region of the Americas,,4/10/20,425889
,United States of America,Region of the Americas,,4/11/20,461275
,United States of America,Region of the Americas,,4/12/20,492881
,United States of America,Region of the Americas,,4/13/20,524514
,United States of America,Region of the Americas,,4/14/20,553882
,United States of America,Region of the Americas,,4/15/20,578268
,United States of America,Region of the Americas,,4/16/20,604070
,United States of America,Region of the Americas,,4/17/20,632781
,United States of America,Region of the Americas,,4/18/20,665330
,United States of America,Region of the Americas,,4/19/20,695353
,United States of America,Region of the Americas,,4/20/20,723605
,United States of America,Region of the Americas,,4/21/20,751273
,United States of America,Region of the Americas,,4/22/20,776907
,United States of America,Region of the Americas,,4/23/20,800926
,United States of America,Region of the Americas,,4/24/20,830053
,United States of America,Region of the Americas,,4/25/20,860772
,United States of America,Region of the Americas,,4/26/20,899281
,United States of America,Region of the Americas,,4/27/20,931698
,United States of America,Region of the Americas,,4/28/20,960916
,United States of America,Region of the Americas,,4/29/20,983457
,United States of America,Region of the Americas,,4/30/20,1003974
,United States of America,Region of the Americas,,5/1/20,1035353
,United States of America,Region of the Americas,,5/2/20,1067127
,United States of America,Region of the Americas,,5/3/20,1093880
,United States of America,Region of the Americas,,5/4/20,1125719
,United States of America,Region of the Americas,,5/5/20,1154985
,United States of America,Region of the Americas,,5/6/20,1171185
,United States of America,Region of the Americas,,5/7/20,1193452
,United States of America,Region of the Americas,,5/8/20,1215571
,United States of America,Region of the Americas,,5/9/20,1245874
,United States of America,Region of the Americas,,5/10/20,1245775
,United States of America,Region of the Americas,,5/11/20,1271645
,United States of America,Region of the Americas,,5/12/20,1298287
,United States of America,Region of the Americas,,5/13/20,1322054
,United States of America,Region of the Americas,,5/14/20,1340098
,United States of America,Region of the Americas,,5/15/20,1361522
,United States of America,Region of the Americas,,5/16/20,1382362
,United States of America,Region of the Americas,,5/17/20,1409452
,United States of America,Region of the Americas,,5/18/20,1432265
,United States of America,Region of the Americas,,5/19/20,1477516
,United States of America,Region of the Americas,,5/20/20,1477459
,United States of America,Region of the Americas,,5/21/20,1501876
,United States of America,Region of the Americas,,5/22/20,1525186
,United States of America,Region of the Americas,,5/23/20,1547973
,United States of America,Region of the Americas,,5/24/20,1568448
,United States of America,Region of the Americas,,5/25/20,1592599
,United States of America,Region of the Americas,,5/26/20,1618757
,United States of America,Region of the Americas,,5/27/20,1634010
,United States of America,Region of the Americas,,5/28/20,1658896
,United States of America,Region of the Americas,,5/29/20,1675258
,United States of America,Region of the Americas,,5/30/20,1694864
,United States of America,Region of the Americas,,5/31/20,1716078
,United States of America,Region of the Americas,,6/1/20,1734040
,United States of America,Region of the Americas,,6/2/20,1783638
,United States of America,Region of the Americas,,6/3/20,1798330
,United States of America,Region of the Americas,,6/4/20,1823220
,United States of America,Region of the Americas,,6/5/20,1837803
,United States of America,Region of the Americas,,6/6/20,1857872
,United States of America,Region of the Americas,,6/7/20,1886794
,United States of America,Region of the Americas,,6/8/20,1915712
,United States of America,Region of the Americas,,6/9/20,1933560
,United States of America,Region of the Americas,,6/10/20,1951096
,United States of America,Region of the Americas,,6/11/20,1968331
,United States of America,Region of the Americas,,6/12/20,1988646
,United States of America,Region of the Americas,,6/13/20,2010391
,United States of America,Region of the Americas,,6/14/20,2032524
,United States of America,Region of the Americas,,6/15/20,2057838
,United States of America,Region of the Americas,,6/16/20,2079592
,United States of America,Region of the Americas,,6/17/20,2098106
,United States of America,Region of the Americas,,6/18/20,2126027
,United States of America,Region of the Americas,,6/19/20,2149166
,United States of America,Region of the Americas,,6/20/20,
,United States of America,Region of the Americas,,6/21/20,
,United States of America,Region of the Americas,,6/22/20,
,United States of America,Region of the Americas,,6/23/20,
,United States of America,Region of the Americas,,6/24/20,
,United States of America,Region of the Americas,,6/25/20,
,United States of America,Region of the Americas,,6/26/20,
,United States of America,Region of the Americas,,6/27/20,
,United States of America,Region of the Americas,,6/28/20,
,United States of America,Region of the Americas,,6/29/20,
,United States of America,Region of the Americas,,6/30/20,
,United States of America,Region of the Americas,,7/1/20,
,United States of America,Region of the Americas,,7/2/20,
,United States of America,Region of the Americas,,7/3/20,
,United States of America,Region of the Americas,,7/4/20,
,United States of America,Region of the Americas,,7/5/20,
,United States of America,Region of the Americas,,7/6/20,
,United States of America,Region of the Americas,,7/7/20,
,United States of America,Region of the Americas,,7/8/20,
,United States of America,Region of the Americas,,7/9/20,
,United States of America,Region of the Americas,,7/10/20,
,United States of America,Region of the Americas,,7/11/20,
,United States of America,Region of the Americas,,7/12/20,
,United States of America,Region of the Americas,,7/13/20,
,United States of America,Region of the Americas,,7/14/20,
,United States of America,Region of the Americas,,7/15/20,
,United States of America,Region of the Americas,,7/16/20,
,United States of America,Region of the Americas,,7/17/20,
,United States of America,Region of the Americas,,7/18/20,
,United States of America,Region of the Americas,,7/19/20,
,United States of America,Region of the Americas,,7/20/20,
,United States of America,Region of the Americas,,7/21/20,
,United States of America,Region of the Americas,,7/22/20,
,United States of America,Region of the Americas,,7/23/20,
,United States of America,Region of the Americas,,7/24/20,
,United States of America,Region of the Americas,,7/25/20,
,United States of America,Region of the Americas,,7/26/20,
,United States of America,Region of the Americas,,7/27/20,
,United States of America,Region of the Americas,,7/28/20,
,United States of America,Region of the Americas,,7/29/20,
,United States of America,Region of the Americas,,7/30/20,
,United States of America,Region of the Americas,,7/31/20,
,United States of America,Region of the Americas,,8/1/20,
,United States of America,Region of the Americas,,8/2/20,
,United States of America,Region of the Americas,,8/3/20,
,United States of America,Region of the Americas,,8/4/20,
,United States of America,Region of the Americas,,8/5/20,
,United States of America,Region of the Americas,,8/6/20,
,United States of America,Region of the Americas,,8/7/20,
,United States of America,Region of the Americas,,8/8/20,
,United States of America,Region of the Americas,,8/9/20,
,United States of America,Region of the Americas,,8/10/20,
,United States of America,Region of the Americas,,8/11/20,
,United States of America,Region of the Americas,,8/12/20,
,United States of America,Region of the Americas,,8/13/20,
,United States of America,Region of the Americas,,8/14/20,
,United States of America,Region of the Americas,,8/15/20,
,United States of America,Region of the Americas,,8/16/20,
