Province/states,country,WHO region,WHO region label,date,value
,Haiti,Region of the Americas,,1/21/20,0
,Haiti,Region of the Americas,,1/22/20,0
,Haiti,Region of the Americas,,1/23/20,0
,Haiti,Region of the Americas,,1/24/20,0
,Haiti,Region of the Americas,,1/25/20,0
,Haiti,Region of the Americas,,1/26/20,0
,Haiti,Region of the Americas,,1/27/20,0
,Haiti,Region of the Americas,,1/28/20,0
,Haiti,Region of the Americas,,1/29/20,0
,Haiti,Region of the Americas,,1/30/20,0
,Haiti,Region of the Americas,,1/31/20,0
,Haiti,Region of the Americas,,2/1/20,0
,Haiti,Region of the Americas,,2/2/20,0
,Haiti,Region of the Americas,,2/3/20,0
,Haiti,Region of the Americas,,2/4/20,0
,Haiti,Region of the Americas,,2/5/20,0
,Haiti,Region of the Americas,,2/6/20,0
,Haiti,Region of the Americas,,2/7/20,0
,Haiti,Region of the Americas,,2/8/20,0
,Haiti,Region of the Americas,,2/9/20,0
,Haiti,Region of the Americas,,2/10/20,0
,Haiti,Region of the Americas,,2/11/20,0
,Haiti,Region of the Americas,,2/12/20,0
,Haiti,Region of the Americas,,2/13/20,0
,Haiti,Region of the Americas,,2/14/20,0
,Haiti,Region of the Americas,,2/15/20,0
,Haiti,Region of the Americas,,2/16/20,0
,Haiti,Region of the Americas,,2/17/20,0
,Haiti,Region of the Americas,,2/18/20,0
,Haiti,Region of the Americas,,2/19/20,0
,Haiti,Region of the Americas,,2/20/20,0
,Haiti,Region of the Americas,,2/21/20,0
,Haiti,Region of the Americas,,2/22/20,0
,Haiti,Region of the Americas,,2/23/20,0
,Haiti,Region of the Americas,,2/24/20,0
,Haiti,Region of the Americas,,2/25/20,0
,Haiti,Region of the Americas,,2/26/20,0
,Haiti,Region of the Americas,,2/27/20,0
,Haiti,Region of the Americas,,2/28/20,0
,Haiti,Region of the Americas,,2/29/20,0
,Haiti,Region of the Americas,,3/1/20,0
,Haiti,Region of the Americas,,3/2/20,0
,Haiti,Region of the Americas,,3/3/20,0
,Haiti,Region of the Americas,,3/4/20,0
,Haiti,Region of the Americas,,3/5/20,0
,Haiti,Region of the Americas,,3/6/20,0
,Haiti,Region of the Americas,,3/7/20,0
,Haiti,Region of the Americas,,3/8/20,0
,Haiti,Region of the Americas,,3/9/20,0
,Haiti,Region of the Americas,,3/10/20,0
,Haiti,Region of the Americas,,3/11/20,0
,Haiti,Region of the Americas,,3/12/20,0
,Haiti,Region of the Americas,,3/13/20,0
,Haiti,Region of the Americas,,3/14/20,0
,Haiti,Region of the Americas,,3/15/20,0
,Haiti,Region of the Americas,,3/16/20,0
,Haiti,Region of the Americas,,3/17/20,0
,Haiti,Region of the Americas,,3/18/20,0
,Haiti,Region of the Americas,,3/19/20,0
,Haiti,Region of the Americas,,3/20/20,0
,Haiti,Region of the Americas,,3/21/20,2
,Haiti,Region of the Americas,,3/22/20,2
,Haiti,Region of the Americas,,3/23/20,2
,Haiti,Region of the Americas,,3/24/20,6
,Haiti,Region of the Americas,,3/25/20,7
,Haiti,Region of the Americas,,3/26/20,8
,Haiti,Region of the Americas,,3/27/20,8
,Haiti,Region of the Americas,,3/28/20,8
,Haiti,Region of the Americas,,3/29/20,8
,Haiti,Region of the Americas,,3/30/20,15
,Haiti,Region of the Americas,,3/31/20,15
,Haiti,Region of the Americas,,4/1/20,15
,Haiti,Region of the Americas,,4/2/20,16
,Haiti,Region of the Americas,,4/3/20,16
,Haiti,Region of the Americas,,4/4/20,18
,Haiti,Region of the Americas,,4/5/20,18
,Haiti,Region of the Americas,,4/6/20,21
